run,vehicle,ttt_index,can_user_defined_index,configured_label,t_fcw_audio_observed_s,test_intent,eligible_for_fcw_audio_timing,eligible_for_aeb_response_or_proxy,braking_interpretation,intervention_class,operator_note
15-TANG L-CNCAP2024/23-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/3344-VUT 80 kph; CCRs -50 % FCW/V15_T3344_R3.txt,15-TANG L-CNCAP2024,3,1,SoundAlarm,14.6799001693726,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
15-TANG L-CNCAP2024/23-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/3344-VUT 80 kph; CCRs -50 % FCW/V15_T3344_R4.txt,15-TANG L-CNCAP2024,3,1,SoundAlarm,19.6700000762939,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
15-TANG L-CNCAP2024/23-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/3344-VUT 80 kph; CCRs -50 % FCW/V15_T3344_R5.txt,15-TANG L-CNCAP2024,3,1,SoundAlarm,17.9699001312256,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
15-TANG L-CNCAP2024/23-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/3344-VUT 80 kph; CCRs -50 % FCW/V15_T3344_R6.txt,15-TANG L-CNCAP2024,3,1,SoundAlarm,17.6000003814697,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
6-C-NCAP 2024 Bao5/8-L6.1.5-CCRs-VUT/5-L6.1.5-CCRS-VUT-FCW/7-L6.1.5-CCRs-VUT-FCW/155-L6.1.5-CCRs-VUT-FCW-50kph-(+50%)/V6_T155_R2.txt,6-C-NCAP 2024 Bao5,1,1,bbb,17.4298992156982,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
6-C-NCAP 2024 Bao5/8-L6.1.5-CCRs-VUT/5-L6.1.5-CCRS-VUT-FCW/7-L6.1.5-CCRs-VUT-FCW/159-L6.1.5-CCRs-VUT-FCW-60kph-(-50%)/V6_T159_R1.txt,6-C-NCAP 2024 Bao5,1,1,bbb,15.5999002456665,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
6-C-NCAP 2024 Bao5/8-L6.1.5-CCRs-VUT/5-L6.1.5-CCRS-VUT-FCW/7-L6.1.5-CCRs-VUT-FCW/163-L6.1.5-CCRs-VUT-FCW-70kph-(+50%)/V6_T163_R1.txt,6-C-NCAP 2024 Bao5,1,1,bbb,20.6198997497559,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
6-C-NCAP 2024 Bao5/8-L6.1.5-CCRs-VUT/5-L6.1.5-CCRS-VUT-FCW/7-L6.1.5-CCRs-VUT-FCW/167-L6.1.5-CCRs-VUT-FCW-80kph-(-50%)/V6_T167_R1.txt,6-C-NCAP 2024 Bao5,1,1,bbb,16.4398994445801,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
8-huajingS/10-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/36-GVT 40 kph/490-VUT 50 kph; CCScpo Nearside GVT 40 kph FCW/V8_T490_R1.txt,8-huajingS,3,1,SoundAlarm,25.4018001556396,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
8-huajingS/10-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/37-GVT 50 kph/494-VUT 60 kph; CCScpo Nearside GVT 50 kph FCW/V8_T494_R1.txt,8-huajingS,3,1,SoundAlarm,25.673900604248,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
8-huajingS/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/23-FCW/24-Farside/25-GVT 40 kph/87-VUT 50 kph; CCScp Farside GVT 40 kph FCW/V8_T87_R1.txt,8-huajingS,3,1,SoundAlarm,22.2999992370605,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
8-huajingS/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/23-FCW/24-Farside/25-GVT 40 kph/87-VUT 50 kph; CCScp Farside GVT 40 kph FCW/V8_T87_R2.txt,8-huajingS,3,1,SoundAlarm,23.8199996948242,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
8-huajingS/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/23-FCW/24-Farside/26-GVT 50 kph/91-VUT 60 kph; CCScp Farside GVT 50 kph FCW/V8_T91_R1.txt,8-huajingS,3,1,SoundAlarm,25.1599998474121,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
8-huajingS/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/23-FCW/24-Farside/26-GVT 50 kph/91-VUT 60 kph; CCScp Farside GVT 50 kph FCW/V8_T91_R2.txt,8-huajingS,3,1,SoundAlarm,24.9300003051758,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
8-huajingS/5-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/36-GVT 40 kph/123-VUT 50 kph; CCScpo Nearside GVT 40 kph FCW/V8_T123_R1.txt,8-huajingS,3,1,SoundAlarm,24.1599998474121,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
8-huajingS/5-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/36-GVT 40 kph/123-VUT 50 kph; CCScpo Nearside GVT 40 kph FCW/V8_T123_R2.txt,8-huajingS,3,1,SoundAlarm,24.7399997711182,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
8-huajingS/5-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/37-GVT 50 kph/127-VUT 60 kph; CCScpo Nearside GVT 50 kph FCW/V8_T127_R2.txt,8-huajingS,3,1,SoundAlarm,25.5300006866455,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
8-huajingS/5-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/37-GVT 50 kph/127-VUT 60 kph; CCScpo Nearside GVT 50 kph FCW/V8_T127_R3.txt,8-huajingS,3,1,SoundAlarm,26.6900005340576,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
8-huajingS/5-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/37-GVT 50 kph/127-VUT 60 kph; CCScpo Nearside GVT 50 kph FCW/V8_T127_R4.txt,8-huajingS,3,1,SoundAlarm,25.6800003051758,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
8-huajingS/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/63-VUT 50 kph; CCRs 50 % FCW/V8_T63_R1.txt,8-huajingS,3,1,SoundAlarm,18.6399993896484,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
8-huajingS/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/63-VUT 50 kph; CCRs 50 % FCW/V8_T63_R2.txt,8-huajingS,3,1,SoundAlarm,19.4599990844727,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
8-huajingS/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/67-VUT 60 kph; CCRs -50 % FCW/V8_T67_R2.txt,8-huajingS,3,1,SoundAlarm,19.5198993682861,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
8-huajingS/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/67-VUT 60 kph; CCRs -50 % FCW/V8_T67_R3.txt,8-huajingS,3,1,SoundAlarm,19.5599994659424,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
8-huajingS/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/71-VUT 70 kph; CCRs 50 % FCW/V8_T71_R1.txt,8-huajingS,3,1,SoundAlarm,20.5499992370605,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
8-huajingS/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/71-VUT 70 kph; CCRs 50 % FCW/V8_T71_R2.txt,8-huajingS,3,1,SoundAlarm,19.75,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
8-huajingS/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/75-VUT 80 kph; CCRs -50 % FCW/V8_T75_R1.txt,8-huajingS,3,1,SoundAlarm,22.0,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
8-huajingS/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/75-VUT 80 kph; CCRs -50 % FCW/V8_T75_R2.txt,8-huajingS,3,1,SoundAlarm,20.4500007629395,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
8-huajingS/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/75-VUT 80 kph; CCRs -50 % FCW/V8_T75_R3.txt,8-huajingS,3,1,SoundAlarm,16.7199001312256,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/69-VUT 72 kph; CCRs 100 % FCW-car/V9_T69_R1.txt,9-BZ7,3,1,SoundAlarm,19.2499008178711,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/69-VUT 72 kph; CCRs 100 % FCW-car/V9_T69_R2.txt,9-BZ7,3,1,SoundAlarm,18.2700004577637,fcw_only_no_aeb,True,False,manual_braking_after_fcw,manual_after_fcw_audio_expected_by_test_procedure,FCW场景只测FCW，不测AEB，这里是听到报警声后就人工接管了
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/69-VUT 72 kph; CCRs 100 % FCW-car/V9_T69_R3.txt,9-BZ7,3,1,SoundAlarm,17.3700008392334,fcw_only_no_aeb,True,False,manual_braking_after_fcw,manual_after_fcw_audio_expected_by_test_procedure,FCW场景只测FCW，不测AEB，这里是听到报警声后就人工接管了
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/69-VUT 72 kph; CCRs 100 % FCW-car (1)/V9_T69_R1.txt,9-BZ7,3,1,SoundAlarm,19.2499008178711,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/69-VUT 72 kph; CCRs 100 % FCW-car (1)/V9_T69_R2.txt,9-BZ7,3,1,SoundAlarm,18.2700004577637,fcw_only_no_aeb,True,False,manual_braking_after_fcw,manual_after_fcw_audio_expected_by_test_procedure,FCW场景只测FCW，不测AEB，这里是听到报警声后就人工接管了
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/69-VUT 72 kph; CCRs 100 % FCW-car (1)/V9_T69_R3.txt,9-BZ7,3,1,SoundAlarm,17.3700008392334,fcw_only_no_aeb,True,False,manual_braking_after_fcw,manual_after_fcw_audio_expected_by_test_procedure,FCW场景只测FCW，不测AEB，这里是听到报警声后就人工接管了
