run,vehicle,scenario,review_source,operator_note,intervention_class,aeb_response_eligibility,analysis_window_rule,sha256,onset_time_s,onset_speed_kph,onset_ttc_s,peak_deceleration_mps2,p05_acceleration_mps2,stopping_distance_from_onset_m,effective_constant_deceleration_distance_mps2,effective_constant_deceleration_time_mps2,time_onset_to_peak_s,event_duration_s,margin_time_s,br_position_travel_mm,brake_force_max_n,aeb_request_proxy_earliest_s,aeb_request_proxy_nominal_s,aeb_request_proxy_latest_s,aeb_request_to_onset_prior_low_s,aeb_request_to_onset_prior_high_s,aeb_request_proxy_status
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/28-CBNAO [O.6.2.5]/29-CBNAO-50 15 kph AEB (Day)/631-VUT 40 kph; CBNA-50 15 kph AEB (Day)-ciasi/V14_T631_R2.txt,14-BZ3X,CBNA,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,e5f7259fa6c6ac5dbebdb63af13ebd68980b95017774895cb8f91c753e2b1b24,22.1818,40.402,0.9161,-10.371,-10.26,7.515,8.376,8.998,0.42,1.22,-0.1661,17.036,8.537,21.831799999999998,21.9318,22.0318,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/24-CPTA-LF [O.6.1.10]/25-CPTA-LF 6.5 kph AEB (Day)/512-VUT 10 kph; CPTA-LF 6.5 kph AEB (Day)/V14_T512_R2.txt,14-BZ3X,CPTA,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,04d9f443820de82f2ad82c1b4d15e6e37331592e432758d4d6fa3097a09abca0,41.0232,10.746,0.8363,-7.16,-6.84,0.903,4.909,5.429,0.51,0.51,0.4194,19.198,18.388,40.6732,40.7732,40.873200000000004,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
8-huajingS/7-C-NCAP VRU 2024 (VUT)/37-CSTA-RN [O.6.2.9]/38-CSTA-RN 20 kph AEB (Day)/370-VUT 20 kph; CSTA-RN 20 kph AEB (Day)/V8_T370_R2.txt,8-huajingS,AEB,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,84b5eeb1ecea400dc810b8e24edaa6002ae674fa3d00a6129c0fac4c47e48c49,24.1099,20.831,2.4706,-10.093,-9.948,2.446,6.835,7.634,0.31,0.73,1.8973,22.106,0.011,23.7599,23.8599,23.9599,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
Guang_Qi_S9_data/5-C-NCAP VRU 2024 (VUT)/35-CSTA-LN [O.6.2.8]/36-CSTA-LN 20 kph AEB (Day)/333-VUT 20 kph; CSTA-LN 20 kph AEB (Day)/V4_T333_R2.txt,Guang_Qi_S9_data,AEB,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,5453a7766f8cb69d58b29fe06c0812c4a8b4378e445ce49a248ed82772348b52,32.91,20.721,0.9941,-9.332,-9.253,2.266,7.296,7.989,0.37,0.69,0.3774,30.889,13.536,32.559999999999995,32.66,32.76,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPFAO-25 6.5 kph AEB (Night)/1775-VUT 40 kph; CPNA-25 5 kph AEB (Night)/V14_T1775_R1.txt,14-BZ3X,CPNA,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,a7df072a615bd51ef9711707dd2678d84277f1d6cea40bab97c4668f0c33c059,21.0515,40.382,0.8987,-11.246,-11.143,7.203,8.73,9.221,0.38,1.19,-0.0987,15.693,14.791,20.7015,20.8015,20.901500000000002,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
9-BZ7/7-C-IASI VRU 2024 (VUT)/30-CSFA [O.6.2.6]/31-CSFA-50 20 kph AEB (Day)/502-VUT 20 kph; CSFA-50 20 kph AEB (Day) (1)/V9_T502_R3.txt,9-BZ7,AEB,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,78391f05336eaa6a792505f119272143ca27412112e1da26e3f219d4d424692a,37.76,20.432,0.6073,-8.6,-8.336,2.369,6.785,7.208,0.33,0.75,-0.0526,16.161,20.314,37.41,37.51,37.61,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
9-BZ7/9-Euro NCAP AEB Car-to-car 2023 (VUT)/25-AEB/27-CCRm [8.2.2.2]/854-VUT 60 kph; CCRm 100 % AEB (1)/V9_T854_R1.txt,9-BZ7,CCRM,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,6b203636273d2f8dd160a7c4b458c4f0321e56a2ca731fdc4becc94da248f3bf,24.3299,59.51,1.1294,-10.593,-10.359,15.397,8.871,9.039,1.2,1.8,-0.4311,27.561,17.664,23.979899999999997,24.0799,24.1799,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
8-huajingS/7-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/286-VUT 40 kph; CPNCO-25 5 kph AEB (Day)/V8_T286_R2.txt,8-huajingS,CPNCO,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,96fcd15ca3e62b807fb708ce6014487673ea088977063fb4796345af40257772,21.3599,40.507,0.8326,-11.225,-10.956,7.506,8.429,9.074,0.87,1.21,-0.1698,28.07,0.023,21.0099,21.1099,21.2099,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
8-huajingS/7-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/15-CPLA-25 5 kph AEB (Night)/262-VUT 40 kph; CPLA-25 5 kph AEB (Night)/V8_T262_R1.txt,8-huajingS,CPLA,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,e85ea900e89aa40bd7339185b9881e977e9e2f993c9125b6d97b2fb90a41106f,19.2999,40.172,0.8784,-10.894,-10.796,7.318,8.505,9.125,1.02,1.2,-0.1459,24.127,0.014,18.9499,19.0499,19.149900000000002,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
9-BZ7/7-C-IASI VRU 2024 (VUT)/28-CBNA [O.6.2.5]/29-CBNA-50 15 kph AEB (Day)/499-VUT 20 kph; CBNA-50 15 kph AEB (Day) (1)/V9_T499_R1.txt,9-BZ7,CBNA,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,33428bea9de0e59102f56400394a98070ad8ce1befc58db7e82954c6158f46df,38.2999,20.49,0.6261,-9.498,-9.275,2.286,7.077,7.612,0.36,0.72,0.0269,25.53,17.675,37.9499,38.0499,38.1499,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
9-BZ7/8-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/598-VUT 20 kph; CPNCO-25 5 kph AEB (Day) (1)/V9_T598_R3.txt,9-BZ7,CPNCO,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,781b5b2191b166a28b5233ddaa9985f35ad418d8a5f0bae22b38a2df6537f10e,21.2799,20.524,0.8114,-9.084,-8.795,2.318,6.994,7.654,0.47,0.71,0.1838,22.122,18.852,20.9299,21.0299,21.129900000000003,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
8-huajingS/12-UN Regulation 152 (Subject Vehicle)/1-Mass in running order (MIRO)/4-Pedestrian Target (PT)/1465-VUT 20 kph; PT 5 kph Nearside AEBS; MIRO M1/V8_T1465_R1.txt,8-huajingS,OTHER,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,e18b92507d5fe65ba675778863bf317358a1c396e0da455f22bfbd7b12db7823,17.2913,20.075,0.8661,-10.008,-9.74,2.938,5.285,6.62,0.63,0.81,0.3089,0.0,5.956,16.9413,17.0413,17.1413,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/7-Pedestrian Nearside Scenarios/8-CPNA-25 5 kph (Day) [7.2.5]/353-VUT 40 kph; CPNA-25 5 kph (Day)/V13_T353_R1.txt,13-xiaopengG9,CPNA,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,ff2c30fc4a548f13c429b36a88055e81cc598a760d88ece96a9176c1d72697d7,11.24,40.053,0.8275,-10.414,-10.252,8.291,7.462,8.369,0.94,1.3,-0.2409,26.374,35.969,10.89,10.99,11.09,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
9-BZ7/8-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/15-CPLA-25 5 kph AEB (Night)/583-VUT 40 kph; CPLA-25 5 kph AEB (Night) (1)/V9_T583_R2.txt,9-BZ7,CPLA,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,02ee8d83ade14058fef2db2182b10dec66e43edc383fd45658df0b9ae409b110,22.5299,39.434,0.8691,-9.872,-9.836,7.47,8.027,8.229,0.59,1.3,-0.2405,22.029,19.778,22.1799,22.2799,22.379900000000003,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
Guang_Qi_A66_data/3-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB/11-CCRs/189-VUT 40 kph; CCRs -50 % AEB/V3_T189_R1.txt,Guang_Qi_A66_data,CCRS,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,54570e72f9b54c69e492f33e40bfefd29eeb4fc23027171c651c453fe2bd77b8,18.9533,40.301,0.9432,-11.188,-11.137,7.253,8.636,9.487,1.07,1.16,-0.0574,25.336,8.353,18.603299999999997,18.7033,18.8033,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
