run,spec,vehicle,ttt_index,ttt_channel_slot,can_user_defined_index,configured_label,description,fcw_context,explicit_sound_label,semantic_status,minimum,maximum,true_time_s,delay_time_s,or_true,trace_status,rows,bad_rows,sha256,t_fcw_audio_observed_s,t_ttt_true_time_complete_s,t_ttt_final_after_delay_s,time_source,observed_to_qualified_s,qualified_to_final_s,observed_braking_onset_s,braking_source_status,br_command_active,fcw_audio_to_observed_braking_s
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/65-VUT 50 kph; CCRs 50 % FCW/V14_T65_R2.txt,14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/65-VUT 50 kph; CCRs 50 % FCW/V14_T65_R2.spec,14-BZ3X,3,1,1,SoundAlarm1,AR Speed Throttle Event,True,True,avad3_fcw_audio_explicit_sound_label,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,3101,93,eae3568a941032f1ecfb87859d9ac18a3222af0a55c5db0892ce65a368b1b0f7,23.7320003509521,23.7320003509521,24.732400894165,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0004005432129013,24.6324005126953,robot_channel_active,True,0.9004001617431996
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/65-VUT 50 kph; CCRs 50 % FCW/V14_T65_R3.txt,14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/65-VUT 50 kph; CCRs 50 % FCW/V14_T65_R3.spec,14-BZ3X,3,1,1,SoundAlarm1,AR Speed Throttle Event,True,True,avad3_fcw_audio_explicit_sound_label,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,3108,93,70440ce223f21d18e7dbbe8f358e1a3209dd411108b5968940fb690b70ed8f89,24.1620998382568,24.1620998382568,25.1622009277344,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0001010894775995,24.7821998596191,robot_channel_active,True,0.6201000213623011
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/69-VUT 60 kph; CCRs -50 % FCW/V14_T69_R1.txt,14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/69-VUT 60 kph; CCRs -50 % FCW/V14_T69_R1.spec,14-BZ3X,3,1,1,SoundAlarm1,AR Speed Throttle Event,True,True,avad3_fcw_audio_explicit_sound_label,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,3038,93,580df1725492e126ac308f49b0cfc144b5f5d1d828342904c0f00c07ca89187d,22.6016006469727,22.5916004180908,23.5916004180908,Time tolerance X (within tolerances) first 0-to-1 edge,-0.010000228881899886,1.0,23.6016006469727,robot_channel_active,True,1.0
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/69-VUT 60 kph; CCRs -50 % FCW/V14_T69_R2.txt,14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/69-VUT 60 kph; CCRs -50 % FCW/V14_T69_R2.spec,14-BZ3X,3,1,1,SoundAlarm1,AR Speed Throttle Event,True,True,avad3_fcw_audio_explicit_sound_label,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,2921,93,69c7d7ba57e4ec891de4303e5b287188ee90d7550682c3c098826eb9b7189483,21.8647003173828,21.8647003173828,22.8647994995117,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0000991821289027,22.8747997283936,robot_channel_active,True,1.0100994110108026
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/69-VUT 60 kph; CCRs -50 % FCW/V14_T69_R3.txt,14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/69-VUT 60 kph; CCRs -50 % FCW/V14_T69_R3.spec,14-BZ3X,3,1,1,SoundAlarm1,AR Speed Throttle Event,True,True,avad3_fcw_audio_explicit_sound_label,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,3419,93,2a9e6bc62de52cac75754b81f364e9df660c94e5bd892be9dd6c023074a30bea,27.1921997070313,27.1921997070313,28.1924991607666,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0002994537353018,28.3225002288818,robot_channel_active,True,1.1303005218505007
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/73-VUT 70 kph; CCRs 50 % FCW/V14_T73_R1.txt,14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/73-VUT 70 kph; CCRs 50 % FCW/V14_T73_R1.spec,14-BZ3X,3,1,1,SoundAlarm1,AR Speed Throttle Event,True,True,avad3_fcw_audio_explicit_sound_label,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,3176,93,6e1a345733252623c381baa4e1071dc38ee58ea072308d8d2be84b66ae6226fa,22.7616004943848,22.7616004943848,23.7616996765137,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0000991821288991,24.051700592041,robot_channel_active,True,1.2901000976562003
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/73-VUT 70 kph; CCRs 50 % FCW/V14_T73_R2.txt,14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/73-VUT 70 kph; CCRs 50 % FCW/V14_T73_R2.spec,14-BZ3X,3,1,1,SoundAlarm1,AR Speed Throttle Event,True,True,avad3_fcw_audio_explicit_sound_label,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,3145,93,eff1b6adaede4947f125e424492279bf01167be2f1b6cc491b169a82cd0b5351,22.0816993713379,22.0816993713379,23.0816993713379,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0,23.3617000579834,robot_channel_active,True,1.2800006866454972
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/73-VUT 70 kph; CCRs 50 % FCW/V14_T73_R3.txt,14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/73-VUT 70 kph; CCRs 50 % FCW/V14_T73_R3.spec,14-BZ3X,3,1,1,SoundAlarm1,AR Speed Throttle Event,True,True,avad3_fcw_audio_explicit_sound_label,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,3097,93,3d49856d692a058a1e336edfb4ae215486158b7541406ae055275febd4e0444b,22.411600112915,22.411600112915,23.411600112915,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0,23.7017002105713,robot_channel_active,True,1.2901000976562997
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/77-VUT 80 kph; CCRs -50 % FCW/V14_T77_R1.txt,14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/77-VUT 80 kph; CCRs -50 % FCW/V14_T77_R1.spec,14-BZ3X,3,1,1,SoundAlarm1,AR Speed Throttle Event,True,True,avad3_fcw_audio_explicit_sound_label,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,2938,93,9d0b3f8fa21deb93b0386c7cfe3a7d14f008385c021ea41d7957fe039058d8dd,21.7014999389648,21.7014999389648,22.7015991210938,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0000991821289986,22.3215999603271,robot_channel_active,True,0.6201000213622976
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/77-VUT 80 kph; CCRs -50 % FCW/V14_T77_R2.txt,14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/77-VUT 80 kph; CCRs -50 % FCW/V14_T77_R2.spec,14-BZ3X,3,1,1,SoundAlarm1,AR Speed Throttle Event,True,True,avad3_fcw_audio_explicit_sound_label,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,3118,93,ce77fce30efdad6a791dcf6b10e9942031fa2eef4935efd81e8355100dd65753,23.1623992919922,23.1623992919922,24.1625003814697,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0001010894775,23.9025001525879,robot_channel_active,True,0.7401008605956996
