uid,branch,fixed2_rate,optimistic_oracle2_rate,loo_oracle2_rate,optimistic_pair,loo_pair_consistency,head0_rate,head1_rate,head2_rate,head3_rate
training_seed73000_samplerv2::single::single-00141,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00142,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00144,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00146,single,1.0,1.0,1.0,0+1,1.0,0.0,1.0,0.0,0.0
training_seed73000_samplerv2::single::single-00148,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00150,single,1.0,1.0,1.0,0+1,1.0,1.0,1.0,0.0,1.0
training_seed73000_samplerv2::single::single-00151,single,1.0,1.0,1.0,0+1,1.0,0.0,1.0,0.0,0.2
training_seed73000_samplerv2::single::single-00153,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00154,single,1.0,1.0,1.0,0+1,1.0,1.0,1.0,0.0,1.0
training_seed73000_samplerv2::single::single-00156,single,1.0,1.0,1.0,0+1,1.0,0.0,1.0,0.0,0.2
training_seed73000_samplerv2::single::single-00157,single,0.8,0.8,0.8,0+1,1.0,0.0,0.8,0.0,0.0
training_seed73000_samplerv2::single::single-00158,single,1.0,1.0,1.0,0+1,1.0,1.0,1.0,0.0,1.0
training_seed73000_samplerv2::dual::dual-00000,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00004,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00005,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00007,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00008,dual,0.2,0.8,0.8,0+2,1.0,0.2,0.0,0.8,0.2
training_seed73000_samplerv2::dual::dual-00009,dual,1.0,1.0,1.0,0+1,1.0,1.0,1.0,0.0,1.0
training_seed73000_samplerv2::dual::dual-00010,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00012,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00013,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00014,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00015,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00016,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00017,dual,1.0,1.0,1.0,0+1,1.0,1.0,1.0,0.0,1.0
training_seed73000_samplerv2::dual::dual-00018,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00019,dual,0.0,0.2,0.0,0+2,0.8,0.0,0.0,0.2,0.0
training_seed73000_samplerv2::dual::dual-00021,dual,1.0,1.0,1.0,0+1,1.0,0.0,1.0,0.0,0.4
training_seed73000_samplerv2::dual::dual-00022,dual,0.0,0.4,0.2,0+2,0.8,0.2,0.0,0.4,0.0
training_seed73000_samplerv2::dual::dual-00023,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00025,dual,1.0,1.0,1.0,0+1,1.0,0.2,1.0,0.0,1.0
training_seed73000_samplerv2::dual::dual-00027,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00030,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00031,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00033,dual,0.2,0.2,0.2,0+1,1.0,0.2,0.2,0.2,0.2
training_seed73000_samplerv2::dual::dual-00036,dual,1.0,1.0,1.0,0+1,1.0,1.0,1.0,0.0,1.0
training_seed73000_samplerv2::dual::dual-00037,dual,1.0,1.0,1.0,0+1,1.0,1.0,1.0,0.0,1.0
training_seed73000_samplerv2::dual::dual-00038,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00041,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00043,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00044,dual,0.0,1.0,1.0,0+2,1.0,0.0,0.0,1.0,0.0
