run,vehicle,scenario,header_status,channels,points_declared,has_object_reference_actual_xy,has_head_tracker_reference_actual_xy,has_spt_reference_actual,has_launchpad_low_level,has_can_user_defined,explicit_aeb_fcw_channels,error
10-accord/2-New Group/540-CUTIN40-20/V10_T540_R1.txt,10-accord,OTHER,data_export,409,4769,True,True,False,False,False,,
10-accord/2-New Group/540-CUTIN40-20/V10_T540_R2.txt,10-accord,OTHER,data_export,409,2809,True,True,False,False,False,,
10-accord/2-New Group/6-R500/CurrentTestSpec.txt,10-accord,OTHER,metadata_not_data_export,,,,,,,,,
10-accord/2-New Group/6-R500/V10_T6_R1.txt,10-accord,OTHER,data_export,409,5876,True,True,False,False,False,,
10-accord/2-New Group/6-R500/V10_T6_R2.txt,10-accord,OTHER,data_export,409,5779,True,True,False,False,False,,
10-accord/2-New Group/6-R500/V10_T6_R3.txt,10-accord,OTHER,data_export,409,5500,True,True,False,False,False,,
10-accord/2-New Group/7-ACC60-0-M/CurrentTestSpec.txt,10-accord,OTHER,metadata_not_data_export,,,,,,,,,
10-accord/2-New Group/7-ACC60-0-M/V10_T7_R1.txt,10-accord,OTHER,data_export,409,4703,True,True,False,False,False,,
10-accord/2-New Group/7-ACC60-0-M/V10_T7_R2.txt,10-accord,OTHER,data_export,409,3703,True,True,False,False,False,,
10-accord/2-New Group/7-ACC60-0-M/V10_T7_R3.txt,10-accord,OTHER,data_export,409,3319,True,True,False,False,False,,
10-accord/2-New Group/8-ACC60-0-R/CurrentTestSpec.txt,10-accord,OTHER,metadata_not_data_export,,,,,,,,,
10-accord/2-New Group/8-ACC60-0-R/V10_T8_R1.txt,10-accord,OTHER,data_export,409,3414,True,True,False,False,False,,
10-accord/2-New Group/8-ACC60-0-R/V10_T8_R2.txt,10-accord,OTHER,data_export,409,3144,True,True,False,False,False,,
10-accord/2-New Group/8-ACC60-0-R/V10_T8_R3.txt,10-accord,OTHER,data_export,409,3295,True,True,False,False,False,,
10-accord/2-New Group/8-ACC60-0-R/V10_T8_R4.txt,10-accord,OTHER,data_export,409,2617,True,True,False,False,False,,
10-accord/2-New Group/8-ACC60-0-R/V10_T8_R5.txt,10-accord,OTHER,data_export,409,3648,True,True,False,False,False,,
10-accord/2-New Group/9-ACC80-0-M/CurrentTestSpec.txt,10-accord,OTHER,metadata_not_data_export,,,,,,,,,
10-accord/2-New Group/9-ACC80-0-M/V10_T9_R1.txt,10-accord,OTHER,data_export,409,2956,True,True,False,False,False,,
10-accord/2-New Group/9-ACC80-0-M/V10_T9_R2.txt,10-accord,OTHER,data_export,409,3442,True,True,False,False,False,,
10-accord/2-New Group/9-ACC80-0-M/V10_T9_R3.txt,10-accord,OTHER,data_export,409,3821,True,True,False,False,False,,
10-accord/2-New Group/9-ACC80-0-M/V10_T9_R4.txt,10-accord,OTHER,data_export,409,3779,True,True,False,False,False,,
10-accord/ExpInfo.txt,10-accord,,metadata_not_data_export,,,,,,,,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/CurrentTestSpec.txt,13-xiaopengG9,AEB,metadata_not_data_export,,,,,,,,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R1.txt,13-xiaopengG9,AEB,data_export,409,1580,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R10.txt,13-xiaopengG9,AEB,data_export,409,1580,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R11.txt,13-xiaopengG9,AEB,data_export,409,1581,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R12.txt,13-xiaopengG9,AEB,data_export,409,1580,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R13.txt,13-xiaopengG9,AEB,data_export,409,1580,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R14.txt,13-xiaopengG9,AEB,data_export,409,1581,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R15.txt,13-xiaopengG9,AEB,data_export,409,1577,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R16.txt,13-xiaopengG9,AEB,data_export,409,1576,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R17.txt,13-xiaopengG9,AEB,data_export,409,1577,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R18.txt,13-xiaopengG9,AEB,data_export,409,1577,True,True,False,False,False,,
