run,vehicle,scenario,event_status,sha256,operator_label,onset_s,onset_speed_kph,travel_pre_mm,travel_win_mm,force_min_pre,force_max_pre,force_min_win,force_max_win,cmd_abs_max_pre2,cmd_abs_max_pre5,cmd_abs_max_win,cmd_active_frac_win,cmd_first_active_rel_s,pre_pulse_gap_s,tension,foot_pre_event,screen_flag_noisy,signature,screen_class
Guang_Qi_S9_data/5-C-NCAP VRU 2024 (VUT)/30-CSFAO [O.6.2.6]/31-CSFAO-50 20 kph AEB (Day)/327-VUT 60 kph; CSFAO-50 20 kph AEB (Day)/V4_T327_R1.txt,Guang_Qi_S9_data,AEB,br_zero_observed_braking,693f30f94ec33461eac3db0214eaccde4822a7e017ffa8d46489af9db6fe371f,,11.04,60.38,0.175,36.425,-1.92,2.59,0.79,133.08,0.0,0.0,0.0,0.0,,,0,0,,foot_compression,foot_compression
XPengP7+_data/9-C-NCAP VRU 2024 (VUT)/22-CPTA-LN [O.6.1.9]/23-CPTA-LN 5 kph AEB (Day)/1173-VUT 20 kph; CPTA-LN 5 kph AEB (Day)/V2_T1173_R1.txt,XPengP7+_data,CPTA,br_zero_observed_braking,3cd6e7b3fe08943b94c90fc5c5b1c1f281cec9feece088c2589ffb15558d511e,,23.31,20.46,0.081,39.677,-1.54,30.0,18.61,102.95,0.0,0.0,0.0,0.0,,,0,0,,foot_compression,foot_compression
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/494-VUT 60 kph; CPNCO-25 5 kph AEB (Day)/V14_T494_R1.txt,14-BZ3X,CPNCO,robot_channel_active,6c89e2969162629c9126ea6ebd045e6e83dafc07574590891177d1dd680c6945,,12.8,60.53,0.0,27.54,-33.62,0.37,-21.97,12.0,0.0,0.0,3.36,0.474,1.01,,1,0,,aeb_pedal_dragged,robot_joined_mid_window
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/30-CSFAO [O.6.2.6]/31-CSFAO-50 20 kph AEB (Day)/1804-VUT 5 kph; FCTB-50 20 kph AEB (Day)-ENCAP/V14_T1804_R4.txt,14-BZ3X,AEB,robot_channel_active,c6221fa85fe225e71324ed2eb096d34b4f0ee13d6ec5606bcc6b2c65fbac288c,,9.83,9.04,88.076,0.045,-8.18,2.51,-18.56,18.16,0.0,0.0,88.098,0.3575,1.15,,1,1,,aeb_pedal_static,robot_joined_mid_window
15-TANG L-CNCAP2024/26-C-NCAP VRU 2024 (VUT)/32-CBLA [O.6.2.7]/33-CBLA-25 15 kph AEB (Day)/5222-VUT 40 kph; CBLA-25 15 kph AEB (Day)/V15_T5222_R1.txt,15-TANG L-CNCAP2024,CBLA,robot_channel_active,7df73ff1669acb26c083e7158ec9c1fbf164f54ed6767ebd8590838f9bab2728,,21.08,40.48,0.184,28.561,-6.98,2.45,-8.28,50.88,0.0,0.0,0.047,0.0,,,1,0,1,drag_then_foot_adjudicate,drag_then_foot_adjudicate
15-TANG L-CNCAP2024/26-C-NCAP VRU 2024 (VUT)/37-CSTA-RN [O.6.2.9]/38-CSTA-RN 20 kph AEB (Day)/5261-VUT 20 kph; CSTA-RN 20 kph AEB (Day)/V15_T5261_R9.txt,15-TANG L-CNCAP2024,AEB,robot_channel_active,9c1e3cf93ce18124f271515b538977dbb6f106e1fe143c038c5110043b2ebeb3,,31.85,23.38,0.001,0.004,-2.8,27.79,17.09,69.75,0.0,0.0,43.326,0.6255,0.97,,0,0,,foot_compression,robot_joined_mid_window
8-huajingS/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/16-AEB/17-Farside/19-GVT 30 kph/106-VUT 40 kph; CCScp Farside GVT 30 kph AEB/V8_T106_R1.txt,8-huajingS,SCP,robot_channel_active,adfd973088214a0b2cd3c57a6497ddf53af0fff6b292b0bd25053e87ab103c17,,21.1,40.87,0.011,22.08,-0.48,3.94,-2.93,66.31,0.0,0.0,0.035,0.0,,,0,0,1,foot_compression,foot_compression
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB-CIASI/11-CCRs/229-VUT 30 kph; CCRs 50 % AEB (1)/V9_T229_R2.txt,9-BZ7,CCRS,robot_channel_active,c7e9422241de815da18cd90930f4c90d52ae7882a01003a4d774b4134f1b500c,,18.13,29.23,0.016,30.735,-0.39,7.72,1.21,301.45,0.0,0.0,0.019,0.0,,,0,0,1,foot_compression,foot_compression
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB-CIASI/11-CCRs/229-VUT 30 kph; CCRs 50 % AEB/V9_T229_R2.txt,9-BZ7,CCRS,robot_channel_active,c7e9422241de815da18cd90930f4c90d52ae7882a01003a4d774b4134f1b500c,,18.13,29.23,0.016,30.735,-0.39,7.72,1.21,301.45,0.0,0.0,0.019,0.0,,,0,0,1,foot_compression,foot_compression
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB-CIASI/11-CCRs/232-VUT 40 kph; CCRs 100 % AEB (1)/V9_T232_R2.txt,9-BZ7,CCRS,robot_channel_active,014278785bc346b4e98815bf894955a69e0544aaaee344e8e0a1383085349db0,,23.25,39.22,0.01,33.283,-2.01,4.86,-1.95,50.09,0.0,0.0,0.0,0.0,,,0,0,1,foot_compression,foot_compression
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB-CIASI/11-CCRs/232-VUT 40 kph; CCRs 100 % AEB/V9_T232_R2.txt,9-BZ7,CCRS,robot_channel_active,014278785bc346b4e98815bf894955a69e0544aaaee344e8e0a1383085349db0,,23.25,39.22,0.01,33.283,-2.01,4.86,-1.95,50.09,0.0,0.0,0.0,0.0,,,0,0,1,foot_compression,foot_compression
