run,rel_dist_at_onset_m,min_rel_dist_m,min_rel_dist_rel_s,first_contact_rel_s,speed_at_first_contact_kph,outcome
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/7-Pedestrian Nearside Scenarios/8-CPNA-25 5 kph (Day) [7.2.5]/341-VUT 20 kph; CPNA-25 5 kph (Day)/V13_T341_R1.txt,3.643,-1.874,2.01,1.0,10.56,contact_and_stopped
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/7-Pedestrian Nearside Scenarios/8-CPNA-25 5 kph (Day) [7.2.5]/341-VUT 20 kph; CPNA-25 5 kph (Day)/V13_T341_R2.txt,3.889,1.671,0.71,,,clear
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/7-Pedestrian Nearside Scenarios/8-CPNA-25 5 kph (Day) [7.2.5]/353-VUT 40 kph; CPNA-25 5 kph (Day)/V13_T353_R1.txt,9.211,0.966,1.33,,,clear
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/7-Pedestrian Nearside Scenarios/8-CPNA-25 5 kph (Day) [7.2.5]/365-VUT 60 kph; CPNA-25 5 kph (Day)/V13_T365_R1.txt,13.919,-7.939,2.24,0.97,44.4,passed_or_swept
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/7-Pedestrian Nearside Scenarios/8-CPNA-25 5 kph (Day) [7.2.5]/365-VUT 60 kph; CPNA-25 5 kph (Day)/V13_T365_R2.txt,18.077,1.094,1.89,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/13-CPLA-25 5 kph AEB (Day)/452-VUT 20 kph; CPLA-25 5 kph AEB (Day)/V14_T452_R1.txt,3.299,1.671,0.64,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/13-CPLA-25 5 kph AEB (Day)/452-VUT 20 kph; CPLA-25 5 kph AEB (Day)/V14_T452_R2.txt,2.682,1.164,0.6,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/13-CPLA-25 5 kph AEB (Day)/452-VUT 20 kph; CPLA-25 5 kph AEB (Day)/V14_T452_R3.txt,3.059,1.402,0.65,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/13-CPLA-25 5 kph AEB (Day)/458-VUT 40 kph; CPLA-25 5 kph AEB (Day)/V14_T458_R1.txt,8.452,2.959,1.02,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/13-CPLA-25 5 kph AEB (Day)/458-VUT 40 kph; CPLA-25 5 kph AEB (Day)/V14_T458_R2.txt,8.168,2.465,1.06,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/13-CPLA-25 5 kph AEB (Day)/458-VUT 40 kph; CPLA-25 5 kph AEB (Day)/V14_T458_R3.txt,8.574,2.823,1.07,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/13-CPLA-25 5 kph AEB (Day)/575-VUT 35 kph; CPLA-25 5 kph AEB (Day)-ciasi/V14_T575_R1.txt,6.468,2.221,0.92,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/13-CPLA-25 5 kph AEB (Day)/575-VUT 35 kph; CPLA-25 5 kph AEB (Day)-ciasi/V14_T575_R2.txt,6.92,2.606,0.93,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/13-CPLA-25 5 kph AEB (Day)/575-VUT 35 kph; CPLA-25 5 kph AEB (Day)-ciasi/V14_T575_R3.txt,6.915,2.661,0.91,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/13-CPLA-25 5 kph AEB (Day)/578-VUT 55 kph; CPLA-25 5 kph AEB (Day)-ciasi/V14_T578_R1.txt,14.58,3.383,1.5,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/13-CPLA-25 5 kph AEB (Day)/578-VUT 55 kph; CPLA-25 5 kph AEB (Day)-ciasi/V14_T578_R2.txt,14.957,3.792,1.49,,,clear
