run,vehicle,label,y_aeb,scenario,onset_speed_kph,peak_deceleration_magnitude_mps2,effective_constant_deceleration_distance_mps2,time_onset_to_peak_s,event_duration_s,br_position_travel_mm,brake_force_max_n,jerk_p95_mps3,lateral_velocity_delta_peak_mps,yaw_rate_delta_peak_dps,heading_change_deg,speed_rebound_kph,positive_speed_step_fraction,brake_pulse_count
Guang_Qi_S9_data/5-C-NCAP VRU 2024 (VUT)/35-CSTA-LN [O.6.2.8]/36-CSTA-LN 20 kph AEB (Day)/333-VUT 20 kph; CSTA-LN 20 kph AEB (Day)/V4_T333_R2.txt,Guang_Qi_S9_data,operator_confirmed_aeb_response,1,AEB,20.721,9.332,7.296,0.37,0.69,30.889,13.536,61.98749575395536,0.130902778357268,8.311213493347214,13.500762939453011,2.5625257492065447,0.0821917808219178,2
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPFAO-25 6.5 kph AEB (Night)/1775-VUT 40 kph; CPNA-25 5 kph AEB (Night)/V14_T1775_R1.txt,14-BZ3X,operator_confirmed_aeb_response,1,CPNA,40.382,11.246,8.73,0.38,1.19,15.693,14.791,60.82952919844686,0.03184640407562255,1.4303746698424238,0.22784423828102263,2.327563643455504,0.06691449814126393,2
9-BZ7/7-C-IASI VRU 2024 (VUT)/30-CSFA [O.6.2.6]/31-CSFA-50 20 kph AEB (Day)/502-VUT 20 kph; CSFA-50 20 kph AEB (Day) (1)/V9_T502_R3.txt,9-BZ7,operator_confirmed_aeb_response,1,AEB,20.432,8.6,6.785,0.33,0.75,16.161,20.314,61.86530142809169,0.04081230983138085,2.7996719405055024,0.18680819869041398,2.592080056667326,0.08,2
9-BZ7/9-Euro NCAP AEB Car-to-car 2023 (VUT)/25-AEB/27-CCRm [8.2.2.2]/854-VUT 60 kph; CCRm 100 % AEB (1)/V9_T854_R1.txt,9-BZ7,operator_confirmed_aeb_response,1,CCRM,59.51,10.593,8.871,1.2,1.8,27.561,17.664,51.504739280378274,0.1173247462138531,8.225334233604368,0.7870483398440342,2.761140525341032,0.05454545454545454,1
8-huajingS/7-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/286-VUT 40 kph; CPNCO-25 5 kph AEB (Day)/V8_T286_R2.txt,8-huajingS,operator_confirmed_aeb_response,1,CPNCO,40.507,11.225,8.429,0.87,1.21,28.07,0.023,67.03015771031826,0.04276330303400755,1.5480864439159678,0.2198792193084957,2.4044397771358517,0.07011070110701106,2
8-huajingS/7-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/15-CPLA-25 5 kph AEB (Night)/262-VUT 40 kph; CPLA-25 5 kph AEB (Night)/V8_T262_R1.txt,8-huajingS,operator_confirmed_aeb_response,1,CPLA,40.172,10.894,8.505,1.02,1.2,24.127,0.014,64.9281636678589,0.06638326495885845,1.198392666876319,0.3104553222660229,2.5424280762672473,0.07037037037037037,2
9-BZ7/7-C-IASI VRU 2024 (VUT)/28-CBNA [O.6.2.5]/29-CBNA-50 15 kph AEB (Day)/499-VUT 20 kph; CBNA-50 15 kph AEB (Day) (1)/V9_T499_R1.txt,9-BZ7,operator_confirmed_aeb_response,1,CBNA,20.49,9.498,7.077,0.36,0.72,25.53,17.675,64.16084816320648,0.037544585764407945,3.259072471410033,0.21980291604995805,2.7138838171958968,0.07657657657657657,2
9-BZ7/8-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/598-VUT 20 kph; CPNCO-25 5 kph AEB (Day) (1)/V9_T598_R3.txt,9-BZ7,operator_confirmed_aeb_response,1,CPNCO,20.524,9.084,6.994,0.47,0.71,22.122,18.852,63.43869019086507,0.03523753909394141,4.040306586772199,0.42975831776857343,2.772060573101043,0.07692307692307693,2
8-huajingS/12-UN Regulation 152 (Subject Vehicle)/1-Mass in running order (MIRO)/4-Pedestrian Target (PT)/1465-VUT 20 kph; PT 5 kph Nearside AEBS; MIRO M1/V8_T1465_R1.txt,8-huajingS,operator_confirmed_aeb_response,1,OTHER,20.075,10.008,5.285,0.63,0.81,0.0,5.956,68.25621692043067,0.0987841272726655,1.0442794749978956,0.11666810512542702,2.390040397644043,0.0735930735930736,2
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/7-Pedestrian Nearside Scenarios/8-CPNA-25 5 kph (Day) [7.2.5]/353-VUT 40 kph; CPNA-25 5 kph (Day)/V13_T353_R1.txt,13-xiaopengG9,operator_confirmed_aeb_response,1,CPNA,40.053,10.414,7.462,0.94,1.3,26.374,35.969,65.93845622695261,0.05486245825886725,2.7552414899691944,0.5201327130198482,2.600769400596615,0.05714285714285714,2
